radius_nm,amplitude,phase_rad
113.974,0.791341,1.40217
114.044,0.7909,1.41131
114.114,0.790465,1.4205
114.184,0.790038,1.42966
114.254,0.789622,1.43878
114.324,0.789213,1.44791
114.394,0.788814,1.457
114.464,0.788426,1.46604
114.535,0.788047,1.47507
114.605,0.787677,1.48406
114.675,0.787317,1.49303
114.745,0.786967,1.50196
114.815,0.786626,1.51088
114.885,0.786294,1.5198
114.955,0.785972,1.52868
115.025,0.78566,1.53753
115.095,0.785358,1.54636
115.165,0.785065,1.55516
115.235,0.784783,1.56393
115.305,0.78451,1.57267
115.375,0.784248,1.58137
115.445,0.783996,1.59004
115.516,0.783753,1.59867
115.586,0.78352,1.60732
115.656,0.783296,1.61594
115.726,0.783082,1.62454
115.796,0.782879,1.63311
115.866,0.782684,1.64167
115.936,0.7825,1.65019
116.006,0.782325,1.6587
116.076,0.782161,1.66718
116.146,0.782006,1.67562
116.216,0.781861,1.68403
116.286,0.781726,1.69242
116.356,0.781598,1.70094
116.426,0.781481,1.70933
116.496,0.781375,1.71759
116.567,0.781277,1.726
116.637,0.781188,1.73437
116.707,0.781109,1.7427
116.777,0.78104,1.75099
116.847,0.78098,1.75929
116.917,0.78093,1.76759
116.987,0.780889,1.77584
117.057,0.780857,1.78405
117.127,0.780835,1.79224
117.197,0.780822,1.80041
117.267,0.780818,1.80857
117.337,0.780823,1.81672
117.407,0.780837,1.82485
117.477,0.78086,1.83296
117.548,0.780892,1.84106
117.618,0.780933,1.84914
117.688,0.780983,1.85719
117.758,0.781041,1.86523
117.828,0.781108,1.87331
117.898,0.781184,1.88136
117.968,0.781269,1.88937
118.038,0.781362,1.89737
118.108,0.781463,1.90532
118.178,0.781572,1.91327
118.248,0.781689,1.92118
118.318,0.781814,1.92907
118.388,0.781947,1.93692
118.458,0.782088,1.9448
118.529,0.782236,1.95264
118.599,0.782393,1.96048
118.669,0.782557,1.96831
118.739,0.782729,1.97612
118.809,0.782907,1.98391
118.879,0.783094,1.99167
118.949,0.783287,1.99942
119.019,0.783487,2.00714
119.089,0.783693,2.01485
119.159,0.783907,2.02254
119.229,0.784128,2.03025
119.299,0.784356,2.03794
119.369,0.784591,2.04562
119.439,0.784832,2.05331
119.51,0.785079,2.06094
119.58,0.785333,2.06858
119.65,0.785593,2.07621
119.72,0.785859,2.08383
119.79,0.786131,2.09142
119.86,0.786409,2.099
119.93,0.786693,2.1066
120,0.786982,2.11416
